sysroot/ostree/repo/objects/02/7c0ff7af6a84e7b2b0f7c32ab83676839d85d687dbf56df1bf9eafa5841612.file	HIGH	CVE-2026-32283	stdlib	v1.26rc2	1.25.9, 1.26.2	crypto/tls: golang: Go crypto/tls: Denial of Service via multiple TLS 1.3 key update messages
sysroot/ostree/repo/objects/02/7c0ff7af6a84e7b2b0f7c32ab83676839d85d687dbf56df1bf9eafa5841612.file	HIGH	CVE-2026-33810	stdlib	v1.26rc2	1.26.2	crypto/x509: golang: Go crypto/x509: Certificate validation bypass due to incorrect DNS constraint application
sysroot/ostree/repo/objects/02/7c0ff7af6a84e7b2b0f7c32ab83676839d85d687dbf56df1bf9eafa5841612.file	HIGH	CVE-2026-33811	stdlib	v1.26rc2	1.25.10, 1.26.3	net: golang: Go net package: Denial of Service via long CNAME response in LookupCNAME
sysroot/ostree/repo/objects/02/7c0ff7af6a84e7b2b0f7c32ab83676839d85d687dbf56df1bf9eafa5841612.file	HIGH	CVE-2026-33814	stdlib	v1.26rc2	1.25.10, 1.26.3	net/http/internal/http2: golang: golang.org/x/net: Go HTTP/2: Denial of Service via malformed SETTINGS_MAX_FRAME_SIZE frame
sysroot/ostree/repo/objects/02/7c0ff7af6a84e7b2b0f7c32ab83676839d85d687dbf56df1bf9eafa5841612.file	HIGH	CVE-2026-33818	stdlib	v1.26rc2	1.25.13, 1.26.6, 1.27.0-rc.3	encoding/asn1: golang: Go encoding/asn1: Denial of Service via excessive recursion in Unmarshal
sysroot/ostree/repo/objects/02/7c0ff7af6a84e7b2b0f7c32ab83676839d85d687dbf56df1bf9eafa5841612.file	HIGH	CVE-2026-39820	stdlib	v1.26rc2	1.25.10, 1.26.3	net/mail: golang: Go net/mail: Denial of Service via crafted email inputs
sysroot/ostree/repo/objects/02/7c0ff7af6a84e7b2b0f7c32ab83676839d85d687dbf56df1bf9eafa5841612.file	HIGH	CVE-2026-39821	stdlib	v1.26rc2	1.25.13, 1.26.6, 1.27.0-rc.3	golang.org/x/net/idna: golang: net/http: golang.org/x/net/idna: Privilege escalation via incorrect Punycode label processing
sysroot/ostree/repo/objects/02/7c0ff7af6a84e7b2b0f7c32ab83676839d85d687dbf56df1bf9eafa5841612.file	HIGH	CVE-2026-39822	stdlib	v1.26rc2	1.25.12, 1.26.5, 1.27.0-rc.2	golang: Go os.Root: Symlink following vulnerability allows directory traversal
sysroot/ostree/repo/objects/02/7c0ff7af6a84e7b2b0f7c32ab83676839d85d687dbf56df1bf9eafa5841612.file	HIGH	CVE-2026-39828	golang.org/x/crypto	v0.33.0	0.52.0	golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Unauthorized command execution via discarded SSH permissions
sysroot/ostree/repo/objects/02/7c0ff7af6a84e7b2b0f7c32ab83676839d85d687dbf56df1bf9eafa5841612.file	HIGH	CVE-2026-39829	golang.org/x/crypto	v0.33.0	0.52.0	golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Denial of Service via crafted public key with excessive parameters
sysroot/ostree/repo/objects/02/7c0ff7af6a84e7b2b0f7c32ab83676839d85d687dbf56df1bf9eafa5841612.file	HIGH	CVE-2026-39830	golang.org/x/crypto	v0.33.0	0.52.0	golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Denial of Service via resource leak from unsolicited SSH responses
sysroot/ostree/repo/objects/02/7c0ff7af6a84e7b2b0f7c32ab83676839d85d687dbf56df1bf9eafa5841612.file	HIGH	CVE-2026-39831	golang.org/x/crypto	v0.33.0	0.52.0	golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Security key bypass due to missing user presence check
sysroot/ostree/repo/objects/02/7c0ff7af6a84e7b2b0f7c32ab83676839d85d687dbf56df1bf9eafa5841612.file	HIGH	CVE-2026-39832	golang.org/x/crypto	v0.33.0	0.52.0	golang.org/x/crypto/ssh/agent: golang.org/x/crypto/ssh/agent: Security bypass due to improper handling of key restrictions
sysroot/ostree/repo/objects/02/7c0ff7af6a84e7b2b0f7c32ab83676839d85d687dbf56df1bf9eafa5841612.file	HIGH	CVE-2026-39835	golang.org/x/crypto	v0.33.0	0.52.0	golang.org/x/crypto/ssh: golang: golang.org/x/crypto/ssh: Denial of Service via crafted SSH certificate
sysroot/ostree/repo/objects/02/7c0ff7af6a84e7b2b0f7c32ab83676839d85d687dbf56df1bf9eafa5841612.file	HIGH	CVE-2026-39836	stdlib	v1.26rc2	1.25.10, 1.26.3	net: golang: Go net package: Denial of Service via NUL byte in Dial and LookupPort on Windows
sysroot/ostree/repo/objects/02/7c0ff7af6a84e7b2b0f7c32ab83676839d85d687dbf56df1bf9eafa5841612.file	HIGH	CVE-2026-42499	stdlib	v1.26rc2	1.25.10, 1.26.3	net/mail: golang: net/mail: Denial of Service via pathological email address parsing
sysroot/ostree/repo/objects/02/7c0ff7af6a84e7b2b0f7c32ab83676839d85d687dbf56df1bf9eafa5841612.file	HIGH	CVE-2026-42504	stdlib	v1.26rc2	1.25.11, 1.26.4	mime: golang: Golang MIME: Denial of Service via maliciously-crafted MIME header
sysroot/ostree/repo/objects/02/7c0ff7af6a84e7b2b0f7c32ab83676839d85d687dbf56df1bf9eafa5841612.file	HIGH	CVE-2026-42508	golang.org/x/crypto	v0.33.0	0.52.0	golang.org/x/crypto/ssh/knownhosts: golang: golang.org/x/crypto/ssh/knownhosts: Revocation bypass via unchecked SignatureKey
sysroot/ostree/repo/objects/02/7c0ff7af6a84e7b2b0f7c32ab83676839d85d687dbf56df1bf9eafa5841612.file	HIGH	CVE-2026-46595	golang.org/x/crypto	v0.33.0	0.52.0	golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Authorization bypass due to skipped source-address validation
sysroot/ostree/repo/objects/02/7c0ff7af6a84e7b2b0f7c32ab83676839d85d687dbf56df1bf9eafa5841612.file	HIGH	CVE-2026-46597	golang.org/x/crypto	v0.33.0	0.52.0	golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Denial of Service via crafted AES-GCM packet decoder inputs
sysroot/ostree/repo/objects/02/7c0ff7af6a84e7b2b0f7c32ab83676839d85d687dbf56df1bf9eafa5841612.file	HIGH	CVE-2026-46600	stdlib	v1.26rc2	1.26.6, 1.27.0-rc.3	golang.org/x/net/dns/dnsmessage: golang.org/x/net/dns/dnsmessage: Denial of Service via invalid DNS record parsing
sysroot/ostree/repo/objects/02/7c0ff7af6a84e7b2b0f7c32ab83676839d85d687dbf56df1bf9eafa5841612.file	HIGH	CVE-2026-56853	stdlib	v1.26rc2	1.25.13, 1.26.6, 1.27.0-rc.3	net/http: golang: Go net/http: Unencrypted HTTP/2 connections vulnerable to Denial of Service
sysroot/ostree/repo/objects/02/7c0ff7af6a84e7b2b0f7c32ab83676839d85d687dbf56df1bf9eafa5841612.file	HIGH	CVE-2026-56854	golang.org/x/crypto	v0.33.0	0.55.0	golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Authentication bypass due to unenforced source-address restrictions
sysroot/ostree/repo/objects/02/7c0ff7af6a84e7b2b0f7c32ab83676839d85d687dbf56df1bf9eafa5841612.file	HIGH	CVE-2026-56858	stdlib	v1.26rc2	1.25.13, 1.26.6, 1.27.0-rc.3	html/template: golang: Go html/template: Cross-Site Scripting via pathological input
sysroot/ostree/repo/objects/02/7c0ff7af6a84e7b2b0f7c32ab83676839d85d687dbf56df1bf9eafa5841612.file	HIGH	CVE-2026-56859	stdlib	v1.26rc2	1.25.13, 1.26.6, 1.27.0-rc.3	encoding/xml: golang: Go: Denial of Service via XML decoding recursion depth issue
sysroot/ostree/repo/objects/02/7c0ff7af6a84e7b2b0f7c32ab83676839d85d687dbf56df1bf9eafa5841612.file	HIGH	CVE-2026-56860	stdlib	v1.26rc2	1.25.13, 1.26.6, 1.27.0-rc.3	net/url: golang: golang net/url: Denial of Service from quadratic complexity in path resolution
sysroot/ostree/repo/objects/02/7c0ff7af6a84e7b2b0f7c32ab83676839d85d687dbf56df1bf9eafa5841612.file	HIGH	CVE-2026-56862	stdlib	v1.26rc2	1.25.13, 1.26.6, 1.27.0-rc.3	crypto/tls: golang: Golang crypto/tls: Denial of Service via indefinite KeyUpdate messages
sysroot/ostree/repo/objects/46/21919be3c21717e15781b053886b43fbc3f2f4d3c2946861ef91e46f1c0b50.file	HIGH	CVE-2024-3056	github.com/containers/podman/v5	v5.0.0-20260626000000-d5ac989fc69c+dirty		podman: kernel: containers in shared IPC namespace are vulnerable to denial of service attack
sysroot/ostree/repo/objects/46/21919be3c21717e15781b053886b43fbc3f2f4d3c2946861ef91e46f1c0b50.file	HIGH	CVE-2025-4953	github.com/containers/podman/v5	v5.0.0-20260626000000-d5ac989fc69c+dirty		podman: Build Context Bind Mount
sysroot/ostree/repo/objects/46/21919be3c21717e15781b053886b43fbc3f2f4d3c2946861ef91e46f1c0b50.file	HIGH	CVE-2025-6032	github.com/containers/podman/v5	v5.0.0-20260626000000-d5ac989fc69c+dirty	5.5.2	podman: podman missing TLS verification
sysroot/ostree/repo/objects/46/21919be3c21717e15781b053886b43fbc3f2f4d3c2946861ef91e46f1c0b50.file	HIGH	CVE-2025-9566	github.com/containers/podman/v5	v5.0.0-20260626000000-d5ac989fc69c+dirty	5.6.1	podman: Podman kube play command may overwrite host files
sysroot/ostree/repo/objects/46/21919be3c21717e15781b053886b43fbc3f2f4d3c2946861ef91e46f1c0b50.file	HIGH	CVE-2026-33818	stdlib	v1.26.4	1.25.13, 1.26.6, 1.27.0-rc.3	encoding/asn1: golang: Go encoding/asn1: Denial of Service via excessive recursion in Unmarshal
sysroot/ostree/repo/objects/46/21919be3c21717e15781b053886b43fbc3f2f4d3c2946861ef91e46f1c0b50.file	HIGH	CVE-2026-39821	stdlib	v1.26.4	1.25.13, 1.26.6, 1.27.0-rc.3	golang.org/x/net/idna: golang: net/http: golang.org/x/net/idna: Privilege escalation via incorrect Punycode label processing
sysroot/ostree/repo/objects/46/21919be3c21717e15781b053886b43fbc3f2f4d3c2946861ef91e46f1c0b50.file	HIGH	CVE-2026-39822	stdlib	v1.26.4	1.25.12, 1.26.5, 1.27.0-rc.2	golang: Go os.Root: Symlink following vulnerability allows directory traversal
sysroot/ostree/repo/objects/46/21919be3c21717e15781b053886b43fbc3f2f4d3c2946861ef91e46f1c0b50.file	HIGH	CVE-2026-46600	stdlib	v1.26.4	1.26.6, 1.27.0-rc.3	golang.org/x/net/dns/dnsmessage: golang.org/x/net/dns/dnsmessage: Denial of Service via invalid DNS record parsing
sysroot/ostree/repo/objects/46/21919be3c21717e15781b053886b43fbc3f2f4d3c2946861ef91e46f1c0b50.file	HIGH	CVE-2026-56853	stdlib	v1.26.4	1.25.13, 1.26.6, 1.27.0-rc.3	net/http: golang: Go net/http: Unencrypted HTTP/2 connections vulnerable to Denial of Service
sysroot/ostree/repo/objects/46/21919be3c21717e15781b053886b43fbc3f2f4d3c2946861ef91e46f1c0b50.file	HIGH	CVE-2026-56858	stdlib	v1.26.4	1.25.13, 1.26.6, 1.27.0-rc.3	html/template: golang: Go html/template: Cross-Site Scripting via pathological input
sysroot/ostree/repo/objects/46/21919be3c21717e15781b053886b43fbc3f2f4d3c2946861ef91e46f1c0b50.file	HIGH	CVE-2026-56859	stdlib	v1.26.4	1.25.13, 1.26.6, 1.27.0-rc.3	encoding/xml: golang: Go: Denial of Service via XML decoding recursion depth issue
sysroot/ostree/repo/objects/46/21919be3c21717e15781b053886b43fbc3f2f4d3c2946861ef91e46f1c0b50.file	HIGH	CVE-2026-56860	stdlib	v1.26.4	1.25.13, 1.26.6, 1.27.0-rc.3	net/url: golang: golang net/url: Denial of Service from quadratic complexity in path resolution
sysroot/ostree/repo/objects/46/21919be3c21717e15781b053886b43fbc3f2f4d3c2946861ef91e46f1c0b50.file	HIGH	CVE-2026-56862	stdlib	v1.26.4	1.25.13, 1.26.6, 1.27.0-rc.3	crypto/tls: golang: Golang crypto/tls: Denial of Service via indefinite KeyUpdate messages
sysroot/ostree/repo/objects/5e/441834d77614b55de9864d9fb4657dd3363b2376850666a648b1764d08676a.file	HIGH	CVE-2024-3056	github.com/containers/podman/v5	v5.0.0-20260626000000-d5ac989fc69c+dirty		podman: kernel: containers in shared IPC namespace are vulnerable to denial of service attack
sysroot/ostree/repo/objects/5e/441834d77614b55de9864d9fb4657dd3363b2376850666a648b1764d08676a.file	HIGH	CVE-2025-4953	github.com/containers/podman/v5	v5.0.0-20260626000000-d5ac989fc69c+dirty		podman: Build Context Bind Mount
sysroot/ostree/repo/objects/5e/441834d77614b55de9864d9fb4657dd3363b2376850666a648b1764d08676a.file	HIGH	CVE-2025-6032	github.com/containers/podman/v5	v5.0.0-20260626000000-d5ac989fc69c+dirty	5.5.2	podman: podman missing TLS verification
